,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,길동,명일제2동,127.1426791,37.5345598,127.1513427,37.546366,길동명일제2동,2451,551.852,4500
1,신정7동,양촌면,126.8597007,37.514393,126.6254268,37.6572063,신정7동양촌면,35185,3563.219,34750
2,보라매동,전농제2동,126.9327389,37.4881456,127.0600375,37.5781027,보라매동전농제2동,20328,2923.023,19900
3,장지동,목4동,127.1354,37.4785,126.86835,37.532425,장지동목4동,31367,4036.699,28300
4,도곡1동,성산제1동,127.0390246,37.488238,126.90785,37.5634083,도곡1동성산제1동,20441,2695.491,19800
5,자양제4동,답십리제2동,127.0662969,37.5341115,127.06125,37.567417,자양제4동답십리제2동,5704,1022.292,7200
6,양재2동,홍제제1동,127.041188,37.470601,126.9448779,37.5876988,양재2동홍제제1동,31112,2872.994,26700
7,발산제1동,김포1동,126.8331686,37.5531209,,,발산제1동김포1동,0,0.0,0
8,왕십리도선동,자금동,127.0255501,37.5678257,127.0582251,37.7502752,왕십리도선동자금동,26307,3085.764,25230
9,여의동,오금동,126.934584,37.5177232,126.9138,37.6674,여의동오금동,27601,2417.253,25750
10,신당제6동,소사본1동,,,126.79993,37.4800723,신당제6동소사본1동,0,0.0,0
11,신내2동,도봉제2동,127.0942306,37.6061896,127.046575,37.669751,신내2동도봉제2동,10380,1779.037,11500
12,대림제2동,신길제1동,126.8982938,37.4927521,126.9214285,37.5112667,대림제2동신길제1동,3811,676.134,5200
13,금호4가동,용두동,127.02241,37.5471987,127.0372011,37.5758884,금호4가동용두동,4571,898.72,6300
14,공항동,가락본동,126.8101437,37.5588296,127.1217864,37.4955568,공항동가락본동,36659,5479.705,34800
15,한강로동,공릉2동,126.9692332,37.5281071,127.083488,37.621332,한강로동공릉2동,22602,2389.78,21500
16,사당제1동,비산3동,126.9786682,37.4830639,126.9455755,37.4040626,사당제1동비산3동,14127,1969.585,14930
17,서초1동,길음제1동,127.0195082,37.4901186,127.0193925,37.6104856,서초1동길음제1동,19492,2700.776,19600
18,구로제2동,화곡제1동,126.8834703,37.491377,126.841562,37.530408,구로제2동화곡제1동,7350,1600.379,9300
19,도곡1동,삼각산동,127.0390246,37.488238,127.0207209,37.6151568,도곡1동삼각산동,19129,2873.345,19100
20,풍납2동,평내동,127.1157686,37.5292584,127.2360753,37.6483117,풍납2동평내동,23370,1596.902,22930
21,난곡동,상도제1동,126.9216507,37.4709634,,,난곡동상도제1동,0,0.0,0
22,반포1동,서초1동,127.0135073,37.5050895,127.0195082,37.4901186,반포1동서초1동,3628,676.628,5100
23,답십리제2동,천호제2동,127.06125,37.567417,127.1254351,37.5435257,답십리제2동천호제2동,7852,2118.906,12000
24,가양제2동,석관동,126.8512826,37.5673763,127.061413,37.612957,가양제2동석관동,25643,3004.842,23100
25,도화동,신길제1동,126.9498798,37.5415123,126.9214285,37.5112667,도화동신길제1동,6110,1018.96,7800
26,등촌제1동,야탑1동,126.8589287,37.5558155,127.130218,37.4119827,등촌제1동야탑1동,41698,4639.673,36790
27,신촌동,대곶면,126.9418114,37.5640923,126.5818539,37.6491083,신촌동대곶면,39873,3417.847,37350
28,가양제3동,방배3동,126.8605955,37.561092,126.9999918,37.4784409,가양제3동방배3동,17824,2504.334,17600
29,창제3동,답십리제4동,127.0429556,37.6381278,,,창제3동답십리제4동,0,0.0,0
30,원효로제1동,사근동,126.9676811,37.5372185,127.0453315,37.5614846,원효로제1동사근동,15845,1853.016,14400
31,오륜동,서원동,127.1343,37.515425,126.9313,37.4797346,오륜동서원동,22074,3016.865,22570
32,양재2동,풍납2동,127.041188,37.470601,127.1157686,37.5292584,양재2동풍납2동,19303,2194.111,17200
33,등촌제2동,명동,126.8625,37.542658,126.98585,37.560042,등촌제2동명동,18054,3285.567,17800
34,목2동,마두2동,126.8717128,37.5461131,126.7844995,37.6535737,목2동마두2동,19822,2243.205,20210
35,삼각산동,당산제2동,127.0207209,37.6151568,126.8973273,37.5310483,삼각산동당산제2동,20896,2992.227,19600
36,반포4동,청룡동,127.0003853,37.4974314,126.9416518,37.4791304,반포4동청룡동,9572,1504.258,10300
37,성내제2동,송정동,127.129563,37.532425,127.0696004,37.5545217,성내제2동송정동,8637,2031.752,12400
38,장안제1동,장안제3동,127.066375,37.567842,,,장안제1동장안제3동,0,0.0,0
39,군자동,중곡제3동,127.0753494,37.5554853,127.0801736,37.5688084,군자동중곡제3동,2320,356.744,4100
40,서림동,대학동,126.9349995,37.4749956,126.9369907,37.4706145,서림동대학동,1055,294.641,3800
41,북가좌제1동,목1동,126.910194,37.57429,126.8712323,37.5303777,북가좌제1동목1동,7957,1891.759,10400
42,오금동,명일제1동,126.9138,37.6674,127.1443656,37.5512453,오금동명일제1동,44653,3659.01,44970
43,청운효자동,신대방제1동,126.9706519,37.5841367,126.91005,37.488943,청운효자동신대방제1동,15441,3337.778,18400
44,면목제3.8동,서초1동,,,127.0195082,37.4901186,면목제3.8동서초1동,0,0.0,0
45,수서동,중계4동,127.104929,37.4889181,127.0780091,37.6587275,수서동중계4동,28441,3107.676,25500
46,인수동,망우본동,127.0106307,37.6415105,127.1014684,37.6005732,인수동망우본동,12569,2758.74,15100
47,시흥제5동,은천동,126.908294,37.4523912,126.9424278,37.4853086,시흥제5동은천동,7276,1426.296,8900
48,목3동,성산제2동,126.8644431,37.5448009,126.9090061,37.568618,목3동성산제2동,6415,1232.986,7500
49,수서동,명일제1동,127.104929,37.4889181,127.1443656,37.5512453,수서동명일제1동,9174,1501.59,10700
50,성북동,중계본동,127.0032875,37.5911237,127.080338,37.64784,성북동중계본동,10328,1963.059,12400
51,방배2동,마천2동,126.9855106,37.4797439,127.1485193,37.4968477,방배2동마천2동,18149,3127.73,19400
52,상도제1동,주엽2동,,,126.7604919,37.6741199,상도제1동주엽2동,0,0.0,0
53,원효로제2동,사당제5동,126.951538,37.53435,126.9668658,37.4857521,원효로제2동사당제5동,7816,1383.018,9300
