구,기준년월,택시요금
관악구,202010,10955000
관악구,202011,11888400
관악구,202012,10810600
관악구,202101,9742300
관악구,202102,8652100
관악구,202103,11407100
관악구,202104,11628600
관악구,202105,11511800
관악구,202106,10775400
관악구,202107,9999900
관악구,202108,10135100
관악구,202109,11599600
관악구,202110,11767900
관악구,202111,10968400
관악구,202112,9541500
관악구,202201,10336200
관악구,202202,9117200
관악구,202203,9321600
관악구,202204,9381400
관악구,202205,10964500
관악구,202206,8313900
광명시,201801,169300
광명시,201802,165600
광명시,201803,427500
광명시,201804,237700
광명시,201805,139600
광명시,201806,221400
광명시,201807,110700
광명시,201808,129100
광명시,201809,18400
광명시,201810,65200
광명시,201811,94200
광명시,201901,69700
광명시,201905,25100
광명시,201908,71800
광명시,202007,58000
광명시,202010,34300
광명시,202101,55900
광명시,202105,144700
광명시,202106,37700
광명시,202107,20200
광명시,202108,15500
광명시,202201,37000
광진구,201801,2780500
광진구,201802,3450700
광진구,201803,2991200
광진구,201804,3078600
광진구,201805,4375900
광진구,201806,4102200
광진구,201807,4501200
광진구,201808,3751300
광진구,201809,3190800
광진구,201810,4435400
광진구,201811,3842500
광진구,201812,4016100
광진구,201901,4771300
광진구,201902,3945800
광진구,201903,3529700
광진구,201904,3258900
광진구,201905,4024800
광진구,201906,4169300
광진구,201907,4474600
광진구,201908,4360000
광진구,201909,3751400
광진구,201910,5694800
광진구,201911,4462400
광진구,201912,4296200
광진구,202001,3952800
광진구,202002,2779700
광진구,202003,2983900
광진구,202004,2499700
광진구,202005,3291600
광진구,202006,5827200
광진구,202007,6064000
광진구,202008,3614000
광진구,202009,3384300
광진구,202010,3441800
광진구,202011,3110200
광진구,202012,3510500
광진구,202101,2677800
광진구,202102,2191300
광진구,202103,3784400
광진구,202104,3291100
광진구,202105,5138400
광진구,202106,4681900
광진구,202107,4808500
광진구,202108,5273700
광진구,202109,5166500
광진구,202110,5705700
광진구,202111,5525100
광진구,202112,4994000
광진구,202201,2880100
광진구,202202,4114700
광진구,202203,4556000
광진구,202204,2972600
광진구,202205,3863700
광진구,202206,3587500
구로구,201801,9150600
구로구,201802,10343500
구로구,201803,11343200
구로구,201804,11349000
구로구,201805,10703400
구로구,201806,10568900
구로구,201807,11525500
구로구,201808,10620700
구로구,201809,11734400
구로구,201810,12449800
구로구,201811,11953100
구로구,201812,11801300
구로구,201901,12713600
구로구,201902,11839000
구로구,201903,11731900
구로구,201904,11103200
구로구,201905,11601700
구로구,201906,11386600
구로구,201907,11218100
구로구,201908,10694400
구로구,201909,10887100
구로구,201910,11631900
구로구,201911,10669700
구로구,201912,10699400
구로구,202001,11750100
구로구,202002,9987400
구로구,202003,9201000
구로구,202004,9594500
구로구,202005,9451600
구로구,202006,9792100
구로구,202007,9421800
구로구,202008,11305100
구로구,202009,9967200
구로구,202010,10951000
구로구,202011,12646200
구로구,202012,9055100
구로구,202101,8312600
구로구,202102,8871400
구로구,202103,11123500
구로구,202104,9385700
구로구,202105,11147200
구로구,202106,10232600
구로구,202107,9122200
구로구,202108,9617100
구로구,202109,10747100
구로구,202110,10314700
구로구,202111,9329000
구로구,202112,9393400
구로구,202201,9263700
구로구,202202,8706400
구로구,202203,9625600
구로구,202204,9940800
구로구,202205,11904200
구로구,202206,10547600
구리시,201902,15300
구리시,202003,53000
구리시,202004,140300
구리시,202005,31700
구리시,202008,96000
구리시,202009,256000
구리시,202010,64000
구리시,202012,85000
구리시,202101,149200
구리시,202107,42400
구리시,202108,107600
구리시,202111,87800
금천구,201801,7103100
금천구,201802,6456700
금천구,201803,6328600
금천구,201804,7501100
금천구,201805,6184500
금천구,201806,7012500
금천구,201807,6609800
금천구,201808,7065000
금천구,201809,5844800
금천구,201810,6477300
금천구,201811,6868200
금천구,201812,6258000
금천구,201901,8182900
금천구,201902,7765200
금천구,201903,7127000
금천구,201904,7512400
금천구,201905,6859500
금천구,201906,8233600
금천구,201907,8647100
금천구,201908,10173800
금천구,201909,6267400
금천구,201910,7001800
금천구,201911,7307900
금천구,201912,7774900
금천구,202001,6849700
금천구,202002,6297900
금천구,202003,5190900
금천구,202004,5530900
금천구,202005,6815000
금천구,202006,6517000
금천구,202007,6805200
금천구,202008,7263200
금천구,202009,6637900
금천구,202010,5911200
금천구,202011,5647300
금천구,202012,5828300
금천구,202101,4599800
금천구,202102,5624800
금천구,202103,6035000
금천구,202104,6508900
금천구,202105,6836300
금천구,202106,6883100
금천구,202107,6125600
금천구,202108,7766400
금천구,202109,7417000
금천구,202110,7085100
금천구,202111,7310200
금천구,202112,5916900
금천구,202201,5652700
금천구,202202,5146100
금천구,202203,4814800
금천구,202204,5392400
금천구,202205,5848900
금천구,202206,4870500
김포시,201807,81700
김포시,201808,100000
김포시,201902,51500
김포시,202002,54600
김포시,202003,60200
김포시,202005,126000
김포시,202007,146300
김포시,202008,95900
김포시,202011,124300
김포시,202012,319200
김포시,202101,216300
김포시,202103,243500
김포시,202104,124300
김포시,202107,180900
김포시,202108,18700
김포시,202109,58500
김포시,202110,58500
김포시,202201,275300
남양주시,201804,78900
남양주시,201806,51800
남양주시,201810,44300
남양주시,201811,52300
남양주시,201901,138700
남양주시,201902,112900
남양주시,201908,75300
남양주시,201909,32400
남양주시,201911,38200
남양주시,201912,114700
남양주시,202001,73700
남양주시,202003,55200
남양주시,202004,63300
남양주시,202005,130700
남양주시,202006,114700
남양주시,202008,74200
남양주시,202009,109500
남양주시,202102,73700
남양주시,202104,155400
남양주시,202107,230400
남양주시,202108,26300
남양주시,202109,261900
남양주시,202111,147400
남양주시,202112,147400
남양주시,202204,80200
남양주시,202205,317300
남양주시,202206,124300
노원구,201801,28509300
노원구,201802,27201400
노원구,201803,28002700
노원구,201804,27524800
노원구,201805,27023500
노원구,201806,24529400
노원구,201807,24752300
노원구,201808,25618100
노원구,201809,26184900
노원구,201810,27778100
노원구,201811,27617400
노원구,201812,25042300
노원구,201901,26904300
노원구,201902,24869500
노원구,201903,25835500
노원구,201904,26637400
노원구,201905,27714300
노원구,201906,26656300
노원구,201907,27712800
노원구,201908,29644800
노원구,201909,31090100
노원구,201910,28890600
노원구,201911,29603400
노원구,201912,33250600
노원구,202001,32344800
노원구,202002,27886800
노원구,202003,24058100
노원구,202004,23445700
노원구,202005,28659900
노원구,202006,27325300
노원구,202007,29171300
노원구,202008,25459500
노원구,202009,23627500
노원구,202010,26169500
노원구,202011,23316100
노원구,202012,22474700
노원구,202101,23564800
노원구,202102,21013000
노원구,202103,25132300
노원구,202104,25457500
노원구,202105,27535300
노원구,202106,24897400
노원구,202107,27630700
노원구,202108,27325600
노원구,202109,26818900
노원구,202110,29472700
노원구,202111,28544300
노원구,202112,28167100
노원구,202201,32874100
노원구,202202,29014300
노원구,202203,32036100
노원구,202204,31730000
노원구,202205,36658800
노원구,202206,27019600
덕양구,201901,114200
덕양구,201909,91900
덕양구,201910,139800
덕양구,201911,18400
덕양구,202001,93500
덕양구,202003,65700
덕양구,202008,97300
덕양구,202010,53800
덕양구,202012,41800
덕양구,202102,83000
덕양구,202104,14800
덕양구,202105,108900
덕양구,202106,72600
덕양구,202109,97100
덕양구,202112,45300
덕양구,202203,24800
덕양구,202204,82100
도봉구,201801,8481900
도봉구,201802,7668000
도봉구,201803,8392500
도봉구,201804,8151400
도봉구,201805,9300800
도봉구,201806,8440600
도봉구,201807,9955800
도봉구,201808,8982100
도봉구,201809,9468700
도봉구,201810,8941800
도봉구,201811,8800900
도봉구,201812,7981800
도봉구,201901,6405100
도봉구,201902,7061100
도봉구,201903,7769400
도봉구,201904,8664900
도봉구,201905,7485600
도봉구,201906,6519500
도봉구,201907,6749400
도봉구,201908,7046600
도봉구,201909,7423000
도봉구,201910,8828300
도봉구,201911,7834000
도봉구,201912,9885100
도봉구,202001,9513500
도봉구,202002,10738400
도봉구,202003,12719500
도봉구,202004,10956500
도봉구,202005,9865900
도봉구,202006,9369900
도봉구,202007,10516900
도봉구,202008,9281200
도봉구,202009,9772000
도봉구,202010,10536700
도봉구,202011,9749300
도봉구,202012,8934800
도봉구,202101,8201900
도봉구,202102,8595000
도봉구,202103,11574000
도봉구,202104,11571000
도봉구,202105,12917000
도봉구,202106,10975000
도봉구,202107,11470100
도봉구,202108,10456100
도봉구,202109,11719100
도봉구,202110,13422200
도봉구,202111,12933200
도봉구,202112,12407000
도봉구,202201,10703500
도봉구,202202,10584300
도봉구,202203,11714800
도봉구,202204,12459400
도봉구,202205,13675400
도봉구,202206,9941400
동대문구,201801,9740300
동대문구,201802,7216900
동대문구,201803,8163800
동대문구,201804,8260500
동대문구,201805,10012000
동대문구,201806,9564100
동대문구,201807,8565000
동대문구,201808,7397800
동대문구,201809,7946700
동대문구,201810,8685400
동대문구,201811,8071300
동대문구,201812,9679100
동대문구,201901,9675600
동대문구,201902,9487800
동대문구,201903,8160900
동대문구,201904,7792100
동대문구,201905,8480500
동대문구,201906,8018900
동대문구,201907,6997500
동대문구,201908,7915700
동대문구,201909,8747100
동대문구,201910,9221800
동대문구,201911,8553600
동대문구,201912,9586100
동대문구,202001,11706500
동대문구,202002,9215900
동대문구,202003,8836800
동대문구,202004,9349700
동대문구,202005,9404900
동대문구,202006,6594300
동대문구,202007,7216900
동대문구,202008,7268200
동대문구,202009,7799200
동대문구,202010,8647800
동대문구,202011,7533400
동대문구,202012,8909500
동대문구,202101,8004400
동대문구,202102,7421200
동대문구,202103,5262900
동대문구,202104,6201600
동대문구,202105,4856800
동대문구,202106,5028900
동대문구,202107,5539000
동대문구,202108,5340300
동대문구,202109,6474100
동대문구,202110,6146600
동대문구,202111,6129100
동대문구,202112,6946800
동대문구,202201,6963500
동대문구,202202,6070400
동대문구,202203,7216000
동대문구,202204,7969700
동대문구,202205,7958400
동대문구,202206,6561700
동안구,202003,36000
동안구,202008,15900
동안구,202104,55900
동안구,202105,59100
동안구,202109,108100
동안구,202201,36500
동작구,201801,9342300
동작구,201802,8051700
동작구,201803,9363700
동작구,201804,10227300
동작구,201805,10989600
동작구,201806,9377300
동작구,201807,9576200
동작구,201808,10830800
동작구,201809,10239500
동작구,201810,10282500
동작구,201811,10308500
동작구,201812,10521700
동작구,201901,7899000
동작구,201902,7336400
동작구,201903,9433400
동작구,201904,10068600
동작구,201905,10014900
동작구,201906,9229800
동작구,201907,9948800
동작구,201908,8762100
동작구,201909,9593800
동작구,201910,9578500
동작구,201911,7367300
동작구,201912,8224900
동작구,202001,6516300
동작구,202002,7145200
동작구,202003,7098500
동작구,202004,8002100
동작구,202005,7547400
동작구,202006,8399100
동작구,202007,9798600
동작구,202008,6988700
동작구,202009,7880600
동작구,202010,9777600
동작구,202011,10325300
동작구,202012,10761800
동작구,202101,7941500
동작구,202102,7745500
동작구,202103,12023300
동작구,202104,11389300
동작구,202105,11009000
동작구,202106,13591500
동작구,202107,11893600
동작구,202108,10406600
동작구,202109,12537100
동작구,202110,12679000
동작구,202111,12178200
동작구,202112,10839200
동작구,202201,9256700
동작구,202202,5942500
동작구,202203,8370800
동작구,202204,8878700
동작구,202205,9074500
동작구,202206,6045300
마포구,201801,8908400
마포구,201802,7243600
마포구,201803,7200200
마포구,201804,7853700
마포구,201805,7262000
마포구,201806,8372700
마포구,201807,8537000
마포구,201808,8442800
마포구,201809,8240300
마포구,201810,8119600
마포구,201811,8282400
마포구,201812,9016100
마포구,201901,8406600
마포구,201902,8420600
마포구,201903,10203600
마포구,201904,8268500
마포구,201905,9768200
마포구,201906,8767600
마포구,201907,9818400
마포구,201908,7780800
마포구,201909,9417600
마포구,201910,9417400
마포구,201911,10383000
마포구,201912,9658600
마포구,202001,10222900
마포구,202002,7913800
마포구,202003,7373200
마포구,202004,7509300
마포구,202005,8296000
마포구,202006,7710400
마포구,202007,9103800
마포구,202008,8507300
마포구,202009,8327700
마포구,202010,9800200
마포구,202011,8995400
마포구,202012,9993200
마포구,202101,9949400
마포구,202102,8388700
마포구,202103,9659900
마포구,202104,9933700
마포구,202105,9156900
마포구,202106,10677000
마포구,202107,11456900
마포구,202108,11288800
마포구,202109,9524200
마포구,202110,9683900
마포구,202111,10365900
마포구,202112,11143400
마포구,202201,10087600
마포구,202202,9327700
마포구,202203,9929000
마포구,202204,11906800
마포구,202205,11270000
마포구,202206,7264600
만안구,201805,19900
만안구,201811,131300
만안구,201905,87400
만안구,201911,48000
만안구,201912,48000
만안구,202002,21900
만안구,202011,26400
만안구,202101,126800
만안구,202201,100500
만안구,202204,168600
분당구,201802,27600
분당구,201803,18800
분당구,201808,61300
분당구,201902,47100
분당구,202004,145700
분당구,202005,79500
분당구,202011,67900
분당구,202104,65000
분당구,202107,86300
분당구,202108,291200
서대문구,201801,6304500
서대문구,201802,6193700
서대문구,201803,5468000
서대문구,201804,5564400
서대문구,201805,6219100
서대문구,201806,6094800
서대문구,201807,7233000
서대문구,201808,7503900
서대문구,201809,7290400
서대문구,201810,6264500
서대문구,201811,7152900
서대문구,201812,7636700
서대문구,201901,8276800
서대문구,201902,6052400
서대문구,201903,7633400
서대문구,201904,7417000
서대문구,201905,8709900
서대문구,201906,7717800
서대문구,201907,9202300
서대문구,201908,10335700
서대문구,201909,10391500
서대문구,201910,10837000
서대문구,201911,11214500
서대문구,201912,11914100
서대문구,202001,9424100
서대문구,202002,7710400
서대문구,202003,9553900
