,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
1015,수유제2동,수유제3동,127.0198777,37.6447027,127.023125,37.638715,수유제2동수유제3동,1075,173.837,3800
1016,개봉제3동,일원2동,126.853838,37.485993,127.0737224,37.4922048,개봉제3동일원2동,29127,3556.549,31690
1017,고덕제1동,김포2동,127.1515382,37.5572593,,,고덕제1동김포2동,0,0.0,0
1018,사당제1동,철산3동,126.9786682,37.4830639,126.8724885,37.4771336,사당제1동철산3동,10833,2051.619,13270
1019,신정3동,성곡동,126.8547892,37.5151685,126.8034928,37.5167184,신정3동성곡동,7429,1333.956,9330
1020,쌍문제1동,미아동,127.0261145,37.6480275,127.0269791,37.6270736,쌍문제1동미아동,3035,648.751,5000
1021,망우본동,금호2.3가동,127.1014684,37.6005732,127.0209487,37.5532922,망우본동금호2.3가동,10564,2916.33,15800
1022,논현2동,창제1동,127.037213,37.517342,127.0438683,37.6483046,논현2동창제1동,21144,1850.028,19300
1023,종로1.2.3.4가동,회현동,126.9902618,37.574461,126.9793216,37.5572864,종로1.2.3.4가동회현동,3088,681.936,5200
1024,방학제1동,월계2동,127.0407251,37.6641763,127.0508,37.6325377,방학제1동월계2동,5040,936.522,6100
1025,일원1동,광희동,127.0879629,37.491839,127.0050623,37.564494,일원1동광희동,17303,2901.836,19900
1026,신도림동,청룡동,126.8805826,37.5077664,126.9416518,37.4791304,신도림동청룡동,8541,1585.992,10100
1027,보광동,한강로동,127.0001818,37.5263257,126.9692332,37.5281071,보광동한강로동,4145,487.534,5400
1028,망원제2동,서교동,126.9023578,37.5602495,126.914588,37.5551015,망원제2동서교동,1608,362.69,3800
1029,역삼2동,우장산동,127.0468034,37.4959674,126.8418849,37.5482468,역삼2동우장산동,27560,3002.98,24200
1030,공릉2동,가양제2동,127.083488,37.621332,126.8512826,37.5673763,공릉2동가양제2동,27417,4099.039,23600
1031,신월3동,서초1동,126.8291541,37.5336234,127.0195082,37.4901186,신월3동서초1동,20814,3658.699,20200
1032,성산제2동,도곡1동,126.9090061,37.568618,127.0390246,37.488238,성산제2동도곡1동,22601,3682.947,23500
