통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202108,서울특별시,종로구,지체,남자,1368
202108,서울특별시,종로구,청각,여자,413
202108,서울특별시,종로구,언어,남자,34
202108,서울특별시,종로구,언어,여자,12
202108,서울특별시,종로구,지적,남자,230
202108,서울특별시,종로구,지적,여자,169
202108,서울특별시,종로구,뇌병변,남자,355
202108,서울특별시,종로구,뇌병변,여자,212
202108,서울특별시,종로구,자폐성,남자,87
202108,서울특별시,종로구,자폐성,여자,16
202108,서울특별시,종로구,정신,남자,136
202108,서울특별시,종로구,정신,여자,125
202108,서울특별시,종로구,신장,남자,162
202108,서울특별시,종로구,지체,여자,1154
202108,서울특별시,종로구,신장,여자,104
202108,서울특별시,종로구,심장,남자,5
202108,서울특별시,종로구,심장,여자,7
202108,서울특별시,종로구,호흡기,남자,21
202108,서울특별시,종로구,시각,남자,451
202108,서울특별시,종로구,호흡기,여자,5
202108,서울특별시,종로구,간,남자,32
202108,서울특별시,종로구,간,여자,12
202108,서울특별시,종로구,안면,남자,4
202108,서울특별시,종로구,안면,여자,3
202108,서울특별시,종로구,장루.요루,남자,22
202108,서울특별시,종로구,장루.요루,여자,12
202108,서울특별시,종로구,뇌전증,남자,8
202108,서울특별시,종로구,뇌전증,여자,8
202108,서울특별시,종로구,시각,여자,264
202108,서울특별시,종로구,청각,남자,526
202108,서울특별시,중구,지체,남자,1365
202108,서울특별시,중구,청각,여자,381
202108,서울특별시,중구,언어,남자,23
202108,서울특별시,중구,언어,여자,11
202108,서울특별시,중구,지적,남자,178
202108,서울특별시,중구,지적,여자,117
202108,서울특별시,중구,뇌병변,남자,357
202108,서울특별시,중구,뇌병변,여자,198
202108,서울특별시,중구,자폐성,남자,57
202108,서울특별시,중구,자폐성,여자,17
202108,서울특별시,중구,정신,남자,121
202108,서울특별시,중구,정신,여자,88
202108,서울특별시,중구,신장,남자,128
202108,서울특별시,중구,신장,여자,97
202108,서울특별시,중구,지체,여자,1146
202108,서울특별시,중구,심장,남자,9
202108,서울특별시,중구,심장,여자,5
202108,서울특별시,중구,호흡기,남자,26
202108,서울특별시,중구,호흡기,여자,6
202108,서울특별시,중구,간,남자,31
202108,서울특별시,중구,시각,남자,434
202108,서울특별시,중구,간,여자,9
202108,서울특별시,중구,안면,남자,2
202108,서울특별시,중구,안면,여자,3
202108,서울특별시,중구,장루.요루,남자,28
202108,서울특별시,중구,장루.요루,여자,13
202108,서울특별시,중구,뇌전증,남자,13
202108,서울특별시,중구,뇌전증,여자,10
202108,서울특별시,중구,시각,여자,279
202108,서울특별시,중구,청각,남자,481
202108,서울특별시,용산구,청각,남자,638
202108,서울특별시,용산구,청각,여자,519
202108,서울특별시,용산구,언어,남자,47
202108,서울특별시,용산구,언어,여자,21
202108,서울특별시,용산구,지적,남자,332
202108,서울특별시,용산구,지체,남자,1809
202108,서울특별시,용산구,지적,여자,195
202108,서울특별시,용산구,뇌병변,남자,452
202108,서울특별시,용산구,뇌병변,여자,316
202108,서울특별시,용산구,지체,여자,1503
202108,서울특별시,용산구,자폐성,남자,104
202108,서울특별시,용산구,자폐성,여자,26
202108,서울특별시,용산구,정신,남자,151
202108,서울특별시,용산구,정신,여자,131
202108,서울특별시,용산구,신장,남자,221
202108,서울특별시,용산구,신장,여자,143
202108,서울특별시,용산구,심장,남자,13
202108,서울특별시,용산구,심장,여자,7
202108,서울특별시,용산구,호흡기,남자,39
202108,서울특별시,용산구,호흡기,여자,11
202108,서울특별시,용산구,간,남자,58
202108,서울특별시,용산구,간,여자,13
202108,서울특별시,용산구,안면,남자,4
202108,서울특별시,용산구,안면,여자,1
202108,서울특별시,용산구,장루.요루,남자,39
202108,서울특별시,용산구,장루.요루,여자,24
202108,서울특별시,용산구,시각,남자,584
202108,서울특별시,용산구,뇌전증,남자,16
202108,서울특별시,용산구,뇌전증,여자,5
202108,서울특별시,용산구,시각,여자,368
202108,서울특별시,성동구,청각,여자,794
202108,서울특별시,성동구,언어,남자,87
202108,서울특별시,성동구,언어,여자,24
202108,서울특별시,성동구,지적,남자,431
202108,서울특별시,성동구,지적,여자,268
202108,서울특별시,성동구,지체,남자,2865
202108,서울특별시,성동구,뇌병변,남자,709
202108,서울특별시,성동구,뇌병변,여자,450
202108,서울특별시,성동구,자폐성,남자,165
202108,서울특별시,성동구,자폐성,여자,30
202108,서울특별시,성동구,정신,남자,210
202108,서울특별시,성동구,정신,여자,193
202108,서울특별시,성동구,신장,남자,288
202108,서울특별시,성동구,신장,여자,196
202108,서울특별시,성동구,지체,여자,2258
202108,서울특별시,성동구,심장,남자,22
202108,서울특별시,성동구,심장,여자,13
202108,서울특별시,성동구,호흡기,남자,68
202108,서울특별시,성동구,호흡기,여자,19
202108,서울특별시,성동구,간,남자,55
202108,서울특별시,성동구,시각,남자,665
202108,서울특별시,성동구,간,여자,29
202108,서울특별시,성동구,안면,남자,8
202108,서울특별시,성동구,안면,여자,4
202108,서울특별시,성동구,장루.요루,남자,53
202108,서울특별시,성동구,장루.요루,여자,40
202108,서울특별시,성동구,뇌전증,남자,24
202108,서울특별시,성동구,뇌전증,여자,17
202108,서울특별시,성동구,시각,여자,485
202108,서울특별시,성동구,청각,남자,905
202108,서울특별시,광진구,청각,여자,763
202108,서울특별시,광진구,언어,남자,63
202108,서울특별시,광진구,언어,여자,24
202108,서울특별시,광진구,지적,남자,471
202108,서울특별시,광진구,지적,여자,338
202108,서울특별시,광진구,뇌병변,남자,695
202108,서울특별시,광진구,뇌병변,여자,509
202108,서울특별시,광진구,자폐성,남자,149
202108,서울특별시,광진구,자폐성,여자,28
