통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202104,서울특별시,종로구,지체,남자,1379
202104,서울특별시,종로구,청각,여자,407
202104,서울특별시,종로구,언어,남자,33
202104,서울특별시,종로구,언어,여자,11
202104,서울특별시,종로구,지적,남자,235
202104,서울특별시,종로구,지적,여자,164
202104,서울특별시,종로구,뇌병변,남자,360
202104,서울특별시,종로구,뇌병변,여자,213
202104,서울특별시,종로구,자폐성,남자,86
202104,서울특별시,종로구,자폐성,여자,16
202104,서울특별시,종로구,정신,남자,140
202104,서울특별시,종로구,정신,여자,119
202104,서울특별시,종로구,신장,남자,158
202104,서울특별시,종로구,지체,여자,1167
202104,서울특별시,종로구,신장,여자,103
202104,서울특별시,종로구,심장,남자,6
202104,서울특별시,종로구,심장,여자,7
202104,서울특별시,종로구,호흡기,남자,22
202104,서울특별시,종로구,시각,남자,449
202104,서울특별시,종로구,호흡기,여자,5
202104,서울특별시,종로구,간,남자,33
202104,서울특별시,종로구,간,여자,12
202104,서울특별시,종로구,안면,남자,4
202104,서울특별시,종로구,안면,여자,3
202104,서울특별시,종로구,장루.요루,남자,20
202104,서울특별시,종로구,장루.요루,여자,10
202104,서울특별시,종로구,뇌전증,남자,6
202104,서울특별시,종로구,뇌전증,여자,7
202104,서울특별시,종로구,시각,여자,264
202104,서울특별시,종로구,청각,남자,528
202104,서울특별시,중구,지체,남자,1369
202104,서울특별시,중구,청각,여자,371
202104,서울특별시,중구,언어,남자,24
202104,서울특별시,중구,언어,여자,12
202104,서울특별시,중구,지적,남자,178
202104,서울특별시,중구,지적,여자,121
202104,서울특별시,중구,뇌병변,남자,361
202104,서울특별시,중구,뇌병변,여자,200
202104,서울특별시,중구,자폐성,남자,59
202104,서울특별시,중구,자폐성,여자,17
202104,서울특별시,중구,정신,남자,121
202104,서울특별시,중구,정신,여자,90
202104,서울특별시,중구,신장,남자,128
202104,서울특별시,중구,신장,여자,97
202104,서울특별시,중구,지체,여자,1168
202104,서울특별시,중구,심장,남자,9
202104,서울특별시,중구,심장,여자,4
202104,서울특별시,중구,호흡기,남자,27
