통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202107,서울특별시,종로구,지체,남자,1365
202107,서울특별시,종로구,청각,여자,407
202107,서울특별시,종로구,언어,남자,34
202107,서울특별시,종로구,언어,여자,12
202107,서울특별시,종로구,지적,남자,233
202107,서울특별시,종로구,지적,여자,170
202107,서울특별시,종로구,뇌병변,남자,354
202107,서울특별시,종로구,뇌병변,여자,215
202107,서울특별시,종로구,자폐성,남자,86
202107,서울특별시,종로구,자폐성,여자,16
202107,서울특별시,종로구,정신,남자,137
202107,서울특별시,종로구,정신,여자,122
202107,서울특별시,종로구,신장,남자,162
202107,서울특별시,종로구,지체,여자,1154
202107,서울특별시,종로구,신장,여자,105
202107,서울특별시,종로구,심장,남자,5
202107,서울특별시,종로구,심장,여자,7
202107,서울특별시,종로구,호흡기,남자,23
202107,서울특별시,종로구,시각,남자,450
202107,서울특별시,종로구,호흡기,여자,5
202107,서울특별시,종로구,간,남자,32
202107,서울특별시,종로구,간,여자,12
202107,서울특별시,종로구,안면,남자,4
202107,서울특별시,종로구,안면,여자,3
202107,서울특별시,종로구,장루.요루,남자,22
202107,서울특별시,종로구,장루.요루,여자,12
202107,서울특별시,종로구,뇌전증,남자,8
202107,서울특별시,종로구,뇌전증,여자,8
202107,서울특별시,종로구,시각,여자,263
202107,서울특별시,종로구,청각,남자,529
202107,서울특별시,중구,지체,남자,1371
202107,서울특별시,중구,청각,여자,380
202107,서울특별시,중구,언어,남자,23
202107,서울특별시,중구,언어,여자,12
202107,서울특별시,중구,지적,남자,178
202107,서울특별시,중구,지적,여자,119
202107,서울특별시,중구,뇌병변,남자,360
202107,서울특별시,중구,뇌병변,여자,197
202107,서울특별시,중구,자폐성,남자,56
202107,서울특별시,중구,자폐성,여자,17
202107,서울특별시,중구,정신,남자,120
202107,서울특별시,중구,정신,여자,88
202107,서울특별시,중구,신장,남자,131
202107,서울특별시,중구,신장,여자,97
202107,서울특별시,중구,지체,여자,1155
202107,서울특별시,중구,심장,남자,9
202107,서울특별시,중구,심장,여자,5
202107,서울특별시,중구,호흡기,남자,27
202107,서울특별시,중구,호흡기,여자,6
202107,서울특별시,중구,간,남자,32
202107,서울특별시,중구,시각,남자,434
202107,서울특별시,중구,간,여자,9
202107,서울특별시,중구,안면,남자,2
