통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202202,서울특별시,종로구,지체,남자,1352
202202,서울특별시,종로구,청각,여자,432
202202,서울특별시,종로구,언어,남자,32
202202,서울특별시,종로구,언어,여자,14
202202,서울특별시,종로구,지적,남자,234
202202,서울특별시,종로구,지적,여자,170
202202,서울특별시,종로구,뇌병변,남자,337
202202,서울특별시,종로구,뇌병변,여자,204
202202,서울특별시,종로구,자폐성,남자,87
202202,서울특별시,종로구,자폐성,여자,18
202202,서울특별시,종로구,정신,남자,136
202202,서울특별시,종로구,정신,여자,126
202202,서울특별시,종로구,신장,남자,159
202202,서울특별시,종로구,지체,여자,1129
202202,서울특별시,종로구,신장,여자,106
202202,서울특별시,종로구,심장,남자,6
202202,서울특별시,종로구,심장,여자,7
202202,서울특별시,종로구,호흡기,남자,20
202202,서울특별시,종로구,시각,남자,438
202202,서울특별시,종로구,호흡기,여자,5
202202,서울특별시,종로구,간,남자,29
202202,서울특별시,종로구,간,여자,13
202202,서울특별시,종로구,안면,남자,4
202202,서울특별시,종로구,안면,여자,3
202202,서울특별시,종로구,장루.요루,남자,21
202202,서울특별시,종로구,장루.요루,여자,11
202202,서울특별시,종로구,뇌전증,남자,8
202202,서울특별시,종로구,뇌전증,여자,7
202202,서울특별시,종로구,시각,여자,257
202202,서울특별시,종로구,청각,남자,532
202202,서울특별시,중구,지체,남자,1347
202202,서울특별시,중구,청각,여자,390
202202,서울특별시,중구,언어,남자,23
202202,서울특별시,중구,언어,여자,10
202202,서울특별시,중구,지적,남자,174
202202,서울특별시,중구,지적,여자,119
202202,서울특별시,중구,뇌병변,남자,364
202202,서울특별시,중구,뇌병변,여자,201
202202,서울특별시,중구,자폐성,남자,57
202202,서울특별시,중구,자폐성,여자,17
202202,서울특별시,중구,정신,남자,120
202202,서울특별시,중구,정신,여자,84
202202,서울특별시,중구,신장,남자,127
202202,서울특별시,중구,신장,여자,105
202202,서울특별시,중구,지체,여자,1122
202202,서울특별시,중구,심장,남자,8
202202,서울특별시,중구,심장,여자,5
202202,서울특별시,중구,호흡기,남자,25
202202,서울특별시,중구,호흡기,여자,5
202202,서울특별시,중구,간,남자,31
202202,서울특별시,중구,시각,남자,434
202202,서울특별시,중구,간,여자,10
202202,서울특별시,중구,안면,남자,3
202202,서울특별시,중구,안면,여자,4
202202,서울특별시,중구,장루.요루,남자,30
202202,서울특별시,중구,장루.요루,여자,13
202202,서울특별시,중구,뇌전증,남자,12
202202,서울특별시,중구,뇌전증,여자,9
202202,서울특별시,중구,시각,여자,273
202202,서울특별시,중구,청각,남자,483
202202,서울특별시,용산구,청각,남자,629
202202,서울특별시,용산구,청각,여자,528
202202,서울특별시,용산구,언어,남자,48
202202,서울특별시,용산구,언어,여자,18
202202,서울특별시,용산구,지적,남자,329
202202,서울특별시,용산구,지체,남자,1770
202202,서울특별시,용산구,지적,여자,197
202202,서울특별시,용산구,뇌병변,남자,446
202202,서울특별시,용산구,뇌병변,여자,295
202202,서울특별시,용산구,지체,여자,1468
202202,서울특별시,용산구,자폐성,남자,105
202202,서울특별시,용산구,자폐성,여자,25
202202,서울특별시,용산구,정신,남자,146
202202,서울특별시,용산구,정신,여자,135
202202,서울특별시,용산구,신장,남자,218
202202,서울특별시,용산구,신장,여자,139
202202,서울특별시,용산구,심장,남자,13
202202,서울특별시,용산구,심장,여자,7
202202,서울특별시,용산구,호흡기,남자,36
202202,서울특별시,용산구,호흡기,여자,12
202202,서울특별시,용산구,간,남자,59
202202,서울특별시,용산구,간,여자,11
202202,서울특별시,용산구,안면,남자,4
202202,서울특별시,용산구,안면,여자,1
202202,서울특별시,용산구,장루.요루,남자,44
202202,서울특별시,용산구,장루.요루,여자,26
202202,서울특별시,용산구,시각,남자,562
202202,서울특별시,용산구,뇌전증,남자,14
202202,서울특별시,용산구,뇌전증,여자,7
202202,서울특별시,용산구,시각,여자,362
202202,서울특별시,성동구,청각,여자,783
