통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202110,서울특별시,종로구,지체,남자,1368
202110,서울특별시,종로구,청각,여자,414
202110,서울특별시,종로구,언어,남자,30
202110,서울특별시,종로구,언어,여자,12
202110,서울특별시,종로구,지적,남자,229
202110,서울특별시,종로구,지적,여자,170
202110,서울특별시,종로구,뇌병변,남자,349
202110,서울특별시,종로구,뇌병변,여자,208
202110,서울특별시,종로구,자폐성,남자,90
202110,서울특별시,종로구,자폐성,여자,16
202110,서울특별시,종로구,정신,남자,133
202110,서울특별시,종로구,정신,여자,127
202110,서울특별시,종로구,신장,남자,165
202110,서울특별시,종로구,지체,여자,1149
202110,서울특별시,종로구,신장,여자,103
202110,서울특별시,종로구,심장,남자,6
202110,서울특별시,종로구,심장,여자,7
202110,서울특별시,종로구,호흡기,남자,21
202110,서울특별시,종로구,시각,남자,447
202110,서울특별시,종로구,호흡기,여자,5
202110,서울특별시,종로구,간,남자,33
202110,서울특별시,종로구,간,여자,13
202110,서울특별시,종로구,안면,남자,4
202110,서울특별시,종로구,안면,여자,3
202110,서울특별시,종로구,장루.요루,남자,21
202110,서울특별시,종로구,장루.요루,여자,11
202110,서울특별시,종로구,뇌전증,남자,8
202110,서울특별시,종로구,뇌전증,여자,9
202110,서울특별시,종로구,시각,여자,267
202110,서울특별시,종로구,청각,남자,524
202110,서울특별시,중구,지체,남자,1361
202110,서울특별시,중구,청각,여자,381
202110,서울특별시,중구,언어,남자,22
202110,서울특별시,중구,언어,여자,10
202110,서울특별시,중구,지적,남자,178
202110,서울특별시,중구,지적,여자,122
202110,서울특별시,중구,뇌병변,남자,360
202110,서울특별시,중구,뇌병변,여자,195
202110,서울특별시,중구,자폐성,남자,55
202110,서울특별시,중구,자폐성,여자,17
202110,서울특별시,중구,정신,남자,122
202110,서울특별시,중구,정신,여자,87
202110,서울특별시,중구,신장,남자,129
202110,서울특별시,중구,신장,여자,99
202110,서울특별시,중구,지체,여자,1146
202110,서울특별시,중구,심장,남자,8
202110,서울특별시,중구,심장,여자,6
202110,서울특별시,중구,호흡기,남자,25
202110,서울특별시,중구,호흡기,여자,6
202110,서울특별시,중구,간,남자,30
202110,서울특별시,중구,시각,남자,437
202110,서울특별시,중구,간,여자,9
202110,서울특별시,중구,안면,남자,2
202110,서울특별시,중구,안면,여자,3
202110,서울특별시,중구,장루.요루,남자,28
202110,서울특별시,중구,장루.요루,여자,14
202110,서울특별시,중구,뇌전증,남자,12
202110,서울특별시,중구,뇌전증,여자,9
202110,서울특별시,중구,시각,여자,276
202110,서울특별시,중구,청각,남자,484
202110,서울특별시,용산구,청각,남자,632
202110,서울특별시,용산구,청각,여자,519
202110,서울특별시,용산구,언어,남자,46
202110,서울특별시,용산구,언어,여자,18
202110,서울특별시,용산구,지적,남자,327
202110,서울특별시,용산구,지체,남자,1789
202110,서울특별시,용산구,지적,여자,200
202110,서울특별시,용산구,뇌병변,남자,452
202110,서울특별시,용산구,뇌병변,여자,311
202110,서울특별시,용산구,지체,여자,1486
202110,서울특별시,용산구,자폐성,남자,104
202110,서울특별시,용산구,자폐성,여자,24
202110,서울특별시,용산구,정신,남자,152
202110,서울특별시,용산구,정신,여자,134
202110,서울특별시,용산구,신장,남자,221
202110,서울특별시,용산구,신장,여자,142
202110,서울특별시,용산구,심장,남자,13
202110,서울특별시,용산구,심장,여자,6
202110,서울특별시,용산구,호흡기,남자,37
202110,서울특별시,용산구,호흡기,여자,12
202110,서울특별시,용산구,간,남자,58
202110,서울특별시,용산구,간,여자,10
202110,서울특별시,용산구,안면,남자,4
202110,서울특별시,용산구,안면,여자,1
202110,서울특별시,용산구,장루.요루,남자,43
202110,서울특별시,용산구,장루.요루,여자,27
202110,서울특별시,용산구,시각,남자,572
202110,서울특별시,용산구,뇌전증,남자,16
202110,서울특별시,용산구,뇌전증,여자,5
202110,서울특별시,용산구,시각,여자,366
202110,서울특별시,성동구,청각,여자,794
202110,서울특별시,성동구,언어,남자,87
202110,서울특별시,성동구,언어,여자,23
202110,서울특별시,성동구,지적,남자,432
202110,서울특별시,성동구,지적,여자,268
202110,서울특별시,성동구,지체,남자,2859
202110,서울특별시,성동구,뇌병변,남자,696
202110,서울특별시,성동구,뇌병변,여자,445
202110,서울특별시,성동구,자폐성,남자,164
202110,서울특별시,성동구,자폐성,여자,30
202110,서울특별시,성동구,정신,남자,210
202110,서울특별시,성동구,정신,여자,195
202110,서울특별시,성동구,신장,남자,285
202110,서울특별시,성동구,신장,여자,196
202110,서울특별시,성동구,지체,여자,2236
202110,서울특별시,성동구,심장,남자,21
202110,서울특별시,성동구,심장,여자,11
202110,서울특별시,성동구,호흡기,남자,68
202110,서울특별시,성동구,호흡기,여자,19
202110,서울특별시,성동구,간,남자,57
202110,서울특별시,성동구,시각,남자,659
202110,서울특별시,성동구,간,여자,29
202110,서울특별시,성동구,안면,남자,8
202110,서울특별시,성동구,안면,여자,4
202110,서울특별시,성동구,장루.요루,남자,52
202110,서울특별시,성동구,장루.요루,여자,38
202110,서울특별시,성동구,뇌전증,남자,24
202110,서울특별시,성동구,뇌전증,여자,17
202110,서울특별시,성동구,시각,여자,481
202110,서울특별시,성동구,청각,남자,903
202110,서울특별시,광진구,청각,여자,769
202110,서울특별시,광진구,언어,남자,62
202110,서울특별시,광진구,언어,여자,25
202110,서울특별시,광진구,지적,남자,475
202110,서울특별시,광진구,지적,여자,336
202110,서울특별시,광진구,뇌병변,남자,698
202110,서울특별시,광진구,뇌병변,여자,507
202110,서울특별시,광진구,자폐성,남자,153
202110,서울특별시,광진구,자폐성,여자,29
202110,서울특별시,광진구,정신,남자,267
202110,서울특별시,광진구,정신,여자,257
202110,서울특별시,광진구,신장,남자,341
202110,서울특별시,광진구,신장,여자,250
202110,서울특별시,광진구,지체,여자,2411
202110,서울특별시,광진구,심장,남자,27
202110,서울특별시,광진구,심장,여자,10
202110,서울특별시,광진구,지체,남자,3046
202110,서울특별시,광진구,호흡기,남자,57
202110,서울특별시,광진구,호흡기,여자,10
202110,서울특별시,광진구,간,남자,49
202110,서울특별시,광진구,간,여자,18
202110,서울특별시,광진구,시각,남자,804
202110,서울특별시,광진구,안면,남자,5
202110,서울특별시,광진구,안면,여자,4
202110,서울특별시,광진구,장루.요루,남자,73
202110,서울특별시,광진구,장루.요루,여자,27
202110,서울특별시,광진구,뇌전증,남자,26
202110,서울특별시,광진구,뇌전증,여자,17
