통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202105,서울특별시,종로구,지체,남자,1375
202105,서울특별시,종로구,청각,여자,407
202105,서울특별시,종로구,언어,남자,33
202105,서울특별시,종로구,언어,여자,13
202105,서울특별시,종로구,지적,남자,235
202105,서울특별시,종로구,지적,여자,165
202105,서울특별시,종로구,뇌병변,남자,358
202105,서울특별시,종로구,뇌병변,여자,217
202105,서울특별시,종로구,자폐성,남자,86
202105,서울특별시,종로구,자폐성,여자,16
202105,서울특별시,종로구,정신,남자,142
202105,서울특별시,종로구,정신,여자,117
202105,서울특별시,종로구,신장,남자,160
202105,서울특별시,종로구,지체,여자,1167
202105,서울특별시,종로구,신장,여자,105
202105,서울특별시,종로구,심장,남자,5
202105,서울특별시,종로구,심장,여자,7
202105,서울특별시,종로구,호흡기,남자,22
202105,서울특별시,종로구,시각,남자,451
202105,서울특별시,종로구,호흡기,여자,5
202105,서울특별시,종로구,간,남자,33
202105,서울특별시,종로구,간,여자,12
202105,서울특별시,종로구,안면,남자,4
202105,서울특별시,종로구,안면,여자,3
202105,서울특별시,종로구,장루.요루,남자,22
202105,서울특별시,종로구,장루.요루,여자,10
202105,서울특별시,종로구,뇌전증,남자,6
202105,서울특별시,종로구,뇌전증,여자,8
202105,서울특별시,종로구,시각,여자,264
202105,서울특별시,종로구,청각,남자,523
202105,서울특별시,중구,지체,남자,1367
202105,서울특별시,중구,청각,여자,371
202105,서울특별시,중구,언어,남자,24
202105,서울특별시,중구,언어,여자,12
202105,서울특별시,중구,지적,남자,180
202105,서울특별시,중구,지적,여자,121
202105,서울특별시,중구,뇌병변,남자,361
202105,서울특별시,중구,뇌병변,여자,201
202105,서울특별시,중구,자폐성,남자,58
202105,서울특별시,중구,자폐성,여자,17
202105,서울특별시,중구,정신,남자,121
202105,서울특별시,중구,정신,여자,90
202105,서울특별시,중구,신장,남자,131
202105,서울특별시,중구,신장,여자,97
202105,서울특별시,중구,지체,여자,1173
202105,서울특별시,중구,심장,남자,9
202105,서울특별시,중구,심장,여자,4
202105,서울특별시,중구,호흡기,남자,26
202105,서울특별시,중구,호흡기,여자,5
202105,서울특별시,중구,간,남자,30
202105,서울특별시,중구,시각,남자,438
202105,서울특별시,중구,간,여자,9
202105,서울특별시,중구,안면,남자,2
202105,서울특별시,중구,안면,여자,3
202105,서울특별시,중구,장루.요루,남자,28
202105,서울특별시,중구,장루.요루,여자,12
202105,서울특별시,중구,뇌전증,남자,13
202105,서울특별시,중구,뇌전증,여자,10
202105,서울특별시,중구,시각,여자,283
202105,서울특별시,중구,청각,남자,479
202105,서울특별시,용산구,청각,남자,644
202105,서울특별시,용산구,청각,여자,523
202105,서울특별시,용산구,언어,남자,47
202105,서울특별시,용산구,언어,여자,20
202105,서울특별시,용산구,지적,남자,334
202105,서울특별시,용산구,지체,남자,1825
202105,서울특별시,용산구,지적,여자,197
202105,서울특별시,용산구,뇌병변,남자,454
202105,서울특별시,용산구,뇌병변,여자,314
202105,서울특별시,용산구,지체,여자,1524
202105,서울특별시,용산구,자폐성,남자,99
202105,서울특별시,용산구,자폐성,여자,25
202105,서울특별시,용산구,정신,남자,154
202105,서울특별시,용산구,정신,여자,138
202105,서울특별시,용산구,신장,남자,217
202105,서울특별시,용산구,신장,여자,145
202105,서울특별시,용산구,심장,남자,15
202105,서울특별시,용산구,심장,여자,6
202105,서울특별시,용산구,호흡기,남자,37
202105,서울특별시,용산구,호흡기,여자,11
202105,서울특별시,용산구,간,남자,58
202105,서울특별시,용산구,간,여자,13
202105,서울특별시,용산구,안면,남자,5
202105,서울특별시,용산구,안면,여자,1
202105,서울특별시,용산구,장루.요루,남자,38
202105,서울특별시,용산구,장루.요루,여자,26
202105,서울특별시,용산구,시각,남자,589
202105,서울특별시,용산구,뇌전증,남자,16
202105,서울특별시,용산구,뇌전증,여자,6
202105,서울특별시,용산구,시각,여자,378
202105,서울특별시,성동구,청각,여자,775
202105,서울특별시,성동구,언어,남자,87
202105,서울특별시,성동구,언어,여자,27
202105,서울특별시,성동구,지적,남자,432
202105,서울특별시,성동구,지적,여자,267
202105,서울특별시,성동구,지체,남자,2885
202105,서울특별시,성동구,뇌병변,남자,720
202105,서울특별시,성동구,뇌병변,여자,443
202105,서울특별시,성동구,자폐성,남자,159
202105,서울특별시,성동구,자폐성,여자,28
202105,서울특별시,성동구,정신,남자,213
202105,서울특별시,성동구,정신,여자,193
202105,서울특별시,성동구,신장,남자,279
202105,서울특별시,성동구,신장,여자,197
202105,서울특별시,성동구,지체,여자,2268
202105,서울특별시,성동구,심장,남자,21
202105,서울특별시,성동구,심장,여자,13
202105,서울특별시,성동구,호흡기,남자,65
202105,서울특별시,성동구,호흡기,여자,19
202105,서울특별시,성동구,간,남자,53
202105,서울특별시,성동구,시각,남자,667
202105,서울특별시,성동구,간,여자,29
202105,서울특별시,성동구,안면,남자,7
202105,서울특별시,성동구,안면,여자,4
202105,서울특별시,성동구,장루.요루,남자,52
202105,서울특별시,성동구,장루.요루,여자,41
202105,서울특별시,성동구,뇌전증,남자,24
202105,서울특별시,성동구,뇌전증,여자,17
202105,서울특별시,성동구,시각,여자,491
202105,서울특별시,성동구,청각,남자,891
202105,서울특별시,광진구,청각,여자,746
202105,서울특별시,광진구,언어,남자,63
202105,서울특별시,광진구,언어,여자,25
202105,서울특별시,광진구,지적,남자,481
202105,서울특별시,광진구,지적,여자,338
202105,서울특별시,광진구,뇌병변,남자,700
202105,서울특별시,광진구,뇌병변,여자,513
202105,서울특별시,광진구,자폐성,남자,152
202105,서울특별시,광진구,자폐성,여자,27
202105,서울특별시,광진구,정신,남자,275
202105,서울특별시,광진구,정신,여자,249
202105,서울특별시,광진구,신장,남자,344
202105,서울특별시,광진구,신장,여자,250
202105,서울특별시,광진구,지체,여자,2420
202105,서울특별시,광진구,심장,남자,29
202105,서울특별시,광진구,심장,여자,9
202105,서울특별시,광진구,지체,남자,3110
202105,서울특별시,광진구,호흡기,남자,51
202105,서울특별시,광진구,호흡기,여자,12
202105,서울특별시,광진구,간,남자,51
202105,서울특별시,광진구,간,여자,17
202105,서울특별시,광진구,시각,남자,819
202105,서울특별시,광진구,안면,남자,5
202105,서울특별시,광진구,안면,여자,4
202105,서울특별시,광진구,장루.요루,남자,75
202105,서울특별시,광진구,장루.요루,여자,28
202105,서울특별시,광진구,뇌전증,남자,27
202105,서울특별시,광진구,뇌전증,여자,17
202105,서울특별시,광진구,시각,여자,507
202105,서울특별시,광진구,청각,남자,1002
202105,서울특별시,동대문구,청각,여자,1057
202105,서울특별시,동대문구,언어,남자,109
202105,서울특별시,동대문구,언어,여자,32
202105,서울특별시,동대문구,지적,남자,568
202105,서울특별시,동대문구,지적,여자,324
202105,서울특별시,동대문구,뇌병변,남자,963
202105,서울특별시,동대문구,뇌병변,여자,661
202105,서울특별시,동대문구,자폐성,남자,138
202105,서울특별시,동대문구,자폐성,여자,26
