통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202006,서울특별시,종로구,지체,남자,1417
202006,서울특별시,종로구,청각,여자,397
202006,서울특별시,종로구,언어,남자,31
202006,서울특별시,종로구,언어,여자,11
202006,서울특별시,종로구,지적,남자,233
202006,서울특별시,종로구,지적,여자,160
202006,서울특별시,종로구,뇌병변,남자,360
202006,서울특별시,종로구,뇌병변,여자,211
202006,서울특별시,종로구,자폐성,남자,90
202006,서울특별시,종로구,자폐성,여자,17
202006,서울특별시,종로구,정신,남자,147
202006,서울특별시,종로구,정신,여자,119
202006,서울특별시,종로구,신장,남자,155
202006,서울특별시,종로구,지체,여자,1219
202006,서울특별시,종로구,신장,여자,99
202006,서울특별시,종로구,심장,남자,5
202006,서울특별시,종로구,심장,여자,5
202006,서울특별시,종로구,호흡기,남자,22
202006,서울특별시,종로구,시각,남자,451
202006,서울특별시,종로구,호흡기,여자,4
202006,서울특별시,종로구,간,남자,38
202006,서울특별시,종로구,간,여자,11
202006,서울특별시,종로구,안면,남자,3
202006,서울특별시,종로구,안면,여자,3
202006,서울특별시,종로구,장루.요루,남자,21
202006,서울특별시,종로구,장루.요루,여자,10
202006,서울특별시,종로구,뇌전증,남자,6
202006,서울특별시,종로구,뇌전증,여자,9
202006,서울특별시,종로구,시각,여자,274
202006,서울특별시,종로구,청각,남자,518
202006,서울특별시,중구,지체,남자,1407
202006,서울특별시,중구,청각,여자,356
202006,서울특별시,중구,언어,남자,24
202006,서울특별시,중구,언어,여자,10
202006,서울특별시,중구,지적,남자,176
202006,서울특별시,중구,지적,여자,127
202006,서울특별시,중구,뇌병변,남자,361
202006,서울특별시,중구,뇌병변,여자,205
202006,서울특별시,중구,자폐성,남자,55
202006,서울특별시,중구,자폐성,여자,15
202006,서울특별시,중구,정신,남자,122
202006,서울특별시,중구,정신,여자,98
202006,서울특별시,중구,신장,남자,129
202006,서울특별시,중구,신장,여자,101
202006,서울특별시,중구,지체,여자,1182
202006,서울특별시,중구,심장,남자,8
202006,서울특별시,중구,심장,여자,5
202006,서울특별시,중구,호흡기,남자,27
202006,서울특별시,중구,호흡기,여자,5
202006,서울특별시,중구,간,남자,29
202006,서울특별시,중구,시각,남자,446
202006,서울특별시,중구,간,여자,7
202006,서울특별시,중구,안면,남자,2
202006,서울특별시,중구,안면,여자,3
202006,서울특별시,중구,장루.요루,남자,26
202006,서울특별시,중구,장루.요루,여자,12
202006,서울특별시,중구,뇌전증,남자,12
202006,서울특별시,중구,뇌전증,여자,10
202006,서울특별시,중구,시각,여자,282
202006,서울특별시,중구,청각,남자,463
202006,서울특별시,용산구,청각,남자,636
202006,서울특별시,용산구,청각,여자,519
202006,서울특별시,용산구,언어,남자,46
202006,서울특별시,용산구,언어,여자,22
202006,서울특별시,용산구,지적,남자,333
202006,서울특별시,용산구,지체,남자,1909
202006,서울특별시,용산구,지적,여자,194
202006,서울특별시,용산구,뇌병변,남자,477
202006,서울특별시,용산구,뇌병변,여자,320
202006,서울특별시,용산구,지체,여자,1576
202006,서울특별시,용산구,자폐성,남자,92
202006,서울특별시,용산구,자폐성,여자,23
202006,서울특별시,용산구,정신,남자,155
202006,서울특별시,용산구,정신,여자,143
202006,서울특별시,용산구,신장,남자,219
202006,서울특별시,용산구,신장,여자,139
202006,서울특별시,용산구,심장,남자,15
