통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202201,서울특별시,종로구,지체,남자,1361
202201,서울특별시,종로구,청각,여자,427
202201,서울특별시,종로구,언어,남자,32
202201,서울특별시,종로구,언어,여자,14
202201,서울특별시,종로구,지적,남자,236
202201,서울특별시,종로구,지적,여자,170
202201,서울특별시,종로구,뇌병변,남자,341
202201,서울특별시,종로구,뇌병변,여자,205
202201,서울특별시,종로구,자폐성,남자,88
202201,서울특별시,종로구,자폐성,여자,18
202201,서울특별시,종로구,정신,남자,137
202201,서울특별시,종로구,정신,여자,126
202201,서울특별시,종로구,신장,남자,163
202201,서울특별시,종로구,지체,여자,1133
202201,서울특별시,종로구,신장,여자,107
202201,서울특별시,종로구,심장,남자,6
202201,서울특별시,종로구,심장,여자,7
202201,서울특별시,종로구,호흡기,남자,20
202201,서울특별시,종로구,시각,남자,442
202201,서울특별시,종로구,호흡기,여자,5
202201,서울특별시,종로구,간,남자,29
202201,서울특별시,종로구,간,여자,13
202201,서울특별시,종로구,안면,남자,4
202201,서울특별시,종로구,안면,여자,3
202201,서울특별시,종로구,장루.요루,남자,20
202201,서울특별시,종로구,장루.요루,여자,11
202201,서울특별시,종로구,뇌전증,남자,8
202201,서울특별시,종로구,뇌전증,여자,7
202201,서울특별시,종로구,시각,여자,256
202201,서울특별시,종로구,청각,남자,528
202201,서울특별시,중구,지체,남자,1352
202201,서울특별시,중구,청각,여자,387
202201,서울특별시,중구,언어,남자,22
202201,서울특별시,중구,언어,여자,10
202201,서울특별시,중구,지적,남자,173
202201,서울특별시,중구,지적,여자,121
202201,서울특별시,중구,뇌병변,남자,368
202201,서울특별시,중구,뇌병변,여자,198
202201,서울특별시,중구,자폐성,남자,56
202201,서울특별시,중구,자폐성,여자,17
202201,서울특별시,중구,정신,남자,121
202201,서울특별시,중구,정신,여자,84
202201,서울특별시,중구,신장,남자,127
202201,서울특별시,중구,신장,여자,104
202201,서울특별시,중구,지체,여자,1125
202201,서울특별시,중구,심장,남자,8
202201,서울특별시,중구,심장,여자,6
202201,서울특별시,중구,호흡기,남자,25
202201,서울특별시,중구,호흡기,여자,5
202201,서울특별시,중구,간,남자,31
202201,서울특별시,중구,시각,남자,437
202201,서울특별시,중구,간,여자,10
202201,서울특별시,중구,안면,남자,3
202201,서울특별시,중구,안면,여자,4
202201,서울특별시,중구,장루.요루,남자,31
202201,서울특별시,중구,장루.요루,여자,13
202201,서울특별시,중구,뇌전증,남자,12
202201,서울특별시,중구,뇌전증,여자,9
202201,서울특별시,중구,시각,여자,274
202201,서울특별시,중구,청각,남자,482
202201,서울특별시,용산구,청각,남자,626
202201,서울특별시,용산구,청각,여자,523
202201,서울특별시,용산구,언어,남자,48
202201,서울특별시,용산구,언어,여자,18
202201,서울특별시,용산구,지적,남자,328
202201,서울특별시,용산구,지체,남자,1773
202201,서울특별시,용산구,지적,여자,196
202201,서울특별시,용산구,뇌병변,남자,450
202201,서울특별시,용산구,뇌병변,여자,302
202201,서울특별시,용산구,지체,여자,1466
202201,서울특별시,용산구,자폐성,남자,103
202201,서울특별시,용산구,자폐성,여자,24
202201,서울특별시,용산구,정신,남자,148
202201,서울특별시,용산구,정신,여자,137
202201,서울특별시,용산구,신장,남자,219
202201,서울특별시,용산구,신장,여자,141
202201,서울특별시,용산구,심장,남자,13
202201,서울특별시,용산구,심장,여자,6
202201,서울특별시,용산구,호흡기,남자,36
202201,서울특별시,용산구,호흡기,여자,12
202201,서울특별시,용산구,간,남자,58
202201,서울특별시,용산구,간,여자,11
202201,서울특별시,용산구,안면,남자,4
202201,서울특별시,용산구,안면,여자,1
