통계년월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202204,서울특별시,종로구,지체,남자,1344
202204,서울특별시,종로구,청각,여자,429
202204,서울특별시,종로구,언어,남자,33
202204,서울특별시,종로구,언어,여자,14
202204,서울특별시,종로구,지적,남자,232
202204,서울특별시,종로구,지적,여자,166
202204,서울특별시,종로구,뇌병변,남자,335
202204,서울특별시,종로구,뇌병변,여자,212
202204,서울특별시,종로구,자폐성,남자,89
202204,서울특별시,종로구,자폐성,여자,18
202204,서울특별시,종로구,정신,남자,137
202204,서울특별시,종로구,정신,여자,127
202204,서울특별시,종로구,신장,남자,157
202204,서울특별시,종로구,지체,여자,1113
202204,서울특별시,종로구,신장,여자,107
202204,서울특별시,종로구,심장,남자,6
202204,서울특별시,종로구,심장,여자,7
202204,서울특별시,종로구,호흡기,남자,19
202204,서울특별시,종로구,시각,남자,437
202204,서울특별시,종로구,호흡기,여자,5
202204,서울특별시,종로구,간,남자,29
202204,서울특별시,종로구,간,여자,13
202204,서울특별시,종로구,안면,남자,4
202204,서울특별시,종로구,안면,여자,3
202204,서울특별시,종로구,장루.요루,남자,21
202204,서울특별시,종로구,장루.요루,여자,11
202204,서울특별시,종로구,뇌전증,남자,8
202204,서울특별시,종로구,뇌전증,여자,7
202204,서울특별시,종로구,시각,여자,256
202204,서울특별시,종로구,청각,남자,544
202204,서울특별시,중구,지체,남자,1340
202204,서울특별시,중구,청각,여자,395
202204,서울특별시,중구,언어,남자,23
202204,서울특별시,중구,언어,여자,9
202204,서울특별시,중구,지적,남자,177
202204,서울특별시,중구,지적,여자,119
202204,서울특별시,중구,뇌병변,남자,354
202204,서울특별시,중구,뇌병변,여자,191
202204,서울특별시,중구,자폐성,남자,58
202204,서울특별시,중구,자폐성,여자,17
202204,서울특별시,중구,정신,남자,124
202204,서울특별시,중구,정신,여자,85
202204,서울특별시,중구,신장,남자,126
202204,서울특별시,중구,신장,여자,99
202204,서울특별시,중구,지체,여자,1116
202204,서울특별시,중구,심장,남자,8
202204,서울특별시,중구,심장,여자,5
202204,서울특별시,중구,호흡기,남자,25
202204,서울특별시,중구,호흡기,여자,4
202204,서울특별시,중구,간,남자,31
202204,서울특별시,중구,시각,남자,426
202204,서울특별시,중구,간,여자,10
202204,서울특별시,중구,안면,남자,3
202204,서울특별시,중구,안면,여자,4
202204,서울특별시,중구,장루.요루,남자,30
202204,서울특별시,중구,장루.요루,여자,13
202204,서울특별시,중구,뇌전증,남자,12
202204,서울특별시,중구,뇌전증,여자,9
202204,서울특별시,중구,시각,여자,272
202204,서울특별시,중구,청각,남자,477
202204,서울특별시,용산구,청각,남자,624
202204,서울특별시,용산구,청각,여자,526
202204,서울특별시,용산구,언어,남자,46
202204,서울특별시,용산구,언어,여자,18
202204,서울특별시,용산구,지적,남자,329
202204,서울특별시,용산구,지체,남자,1749
202204,서울특별시,용산구,지적,여자,196
202204,서울특별시,용산구,뇌병변,남자,437
202204,서울특별시,용산구,뇌병변,여자,292
202204,서울특별시,용산구,지체,여자,1456
202204,서울특별시,용산구,자폐성,남자,106
202204,서울특별시,용산구,자폐성,여자,26
202204,서울특별시,용산구,정신,남자,151
202204,서울특별시,용산구,정신,여자,132
202204,서울특별시,용산구,신장,남자,223
202204,서울특별시,용산구,신장,여자,143
202204,서울특별시,용산구,심장,남자,12
202204,서울특별시,용산구,심장,여자,7
202204,서울특별시,용산구,호흡기,남자,38
202204,서울특별시,용산구,호흡기,여자,12
202204,서울특별시,용산구,간,남자,57
202204,서울특별시,용산구,간,여자,12
202204,서울특별시,용산구,안면,남자,4
202204,서울특별시,용산구,안면,여자,1
202204,서울특별시,용산구,장루.요루,남자,45
202204,서울특별시,용산구,장루.요루,여자,26
202204,서울특별시,용산구,시각,남자,563
202204,서울특별시,용산구,뇌전증,남자,13
202204,서울특별시,용산구,뇌전증,여자,7
202204,서울특별시,용산구,시각,여자,362
202204,서울특별시,성동구,청각,여자,783
202204,서울특별시,성동구,언어,남자,84
202204,서울특별시,성동구,언어,여자,22
202204,서울특별시,성동구,지적,남자,426
202204,서울특별시,성동구,지적,여자,269
202204,서울특별시,성동구,지체,남자,2801
202204,서울특별시,성동구,뇌병변,남자,677
202204,서울특별시,성동구,뇌병변,여자,440
202204,서울특별시,성동구,자폐성,남자,167
202204,서울특별시,성동구,자폐성,여자,31
202204,서울특별시,성동구,정신,남자,214
202204,서울특별시,성동구,정신,여자,188
202204,서울특별시,성동구,신장,남자,297
202204,서울특별시,성동구,신장,여자,198
202204,서울특별시,성동구,지체,여자,2198
202204,서울특별시,성동구,심장,남자,20
202204,서울특별시,성동구,심장,여자,11
202204,서울특별시,성동구,호흡기,남자,66
202204,서울특별시,성동구,호흡기,여자,20
202204,서울특별시,성동구,간,남자,52
202204,서울특별시,성동구,시각,남자,644
202204,서울특별시,성동구,간,여자,29
202204,서울특별시,성동구,안면,남자,8
202204,서울특별시,성동구,안면,여자,4
202204,서울특별시,성동구,장루.요루,남자,55
202204,서울특별시,성동구,장루.요루,여자,37
202204,서울특별시,성동구,뇌전증,남자,25
202204,서울특별시,성동구,뇌전증,여자,17
202204,서울특별시,성동구,시각,여자,471
202204,서울특별시,성동구,청각,남자,912
202204,서울특별시,광진구,청각,여자,764
202204,서울특별시,광진구,언어,남자,65
202204,서울특별시,광진구,언어,여자,29
202204,서울특별시,광진구,지적,남자,470
202204,서울특별시,광진구,지적,여자,333
202204,서울특별시,광진구,뇌병변,남자,661
202204,서울특별시,광진구,뇌병변,여자,498
202204,서울특별시,광진구,자폐성,남자,164
202204,서울특별시,광진구,자폐성,여자,29
202204,서울특별시,광진구,정신,남자,261
202204,서울특별시,광진구,정신,여자,268
202204,서울특별시,광진구,신장,남자,339
202204,서울특별시,광진구,신장,여자,245
202204,서울특별시,광진구,지체,여자,2376
202204,서울특별시,광진구,심장,남자,26
202204,서울특별시,광진구,심장,여자,10
202204,서울특별시,광진구,지체,남자,2999
202204,서울특별시,광진구,호흡기,남자,52
202204,서울특별시,광진구,호흡기,여자,8
202204,서울특별시,광진구,간,남자,46
202204,서울특별시,광진구,간,여자,20
202204,서울특별시,광진구,시각,남자,796
202204,서울특별시,광진구,안면,남자,5
202204,서울특별시,광진구,안면,여자,5
202204,서울특별시,광진구,장루.요루,남자,77
202204,서울특별시,광진구,장루.요루,여자,28
202204,서울특별시,광진구,뇌전증,남자,27
202204,서울특별시,광진구,뇌전증,여자,15
202204,서울특별시,광진구,시각,여자,511
202204,서울특별시,광진구,청각,남자,1037
202204,서울특별시,동대문구,청각,여자,1073
202204,서울특별시,동대문구,언어,남자,106
202204,서울특별시,동대문구,언어,여자,35
202204,서울특별시,동대문구,지적,남자,579
202204,서울특별시,동대문구,지적,여자,324
202204,서울특별시,동대문구,뇌병변,남자,913
202204,서울특별시,동대문구,뇌병변,여자,632
202204,서울특별시,동대문구,자폐성,남자,150
202204,서울특별시,동대문구,자폐성,여자,26
202204,서울특별시,동대문구,정신,남자,342
202204,서울특별시,동대문구,정신,여자,298
202204,서울특별시,동대문구,신장,남자,408
202204,서울특별시,동대문구,신장,여자,285
202204,서울특별시,동대문구,지체,여자,3074
202204,서울특별시,동대문구,심장,남자,22
202204,서울특별시,동대문구,심장,여자,12
202204,서울특별시,동대문구,호흡기,남자,65
202204,서울특별시,동대문구,호흡기,여자,13
202204,서울특별시,동대문구,간,남자,68
202204,서울특별시,동대문구,간,여자,38
202204,서울특별시,동대문구,안면,남자,10
202204,서울특별시,동대문구,시각,남자,936
202204,서울특별시,동대문구,안면,여자,7
202204,서울특별시,동대문구,장루.요루,남자,68
202204,서울특별시,동대문구,장루.요루,여자,48
